subj_idx,task,condition,stimulus,subject_answered,response,rt
s01,audio,control,slow,fast,0.0,1.093
s01,audio,incongruent,slow,slow,1.0,0.792
s01,audio,incongruent,slow,slow,1.0,0.814
s01,audio,control,slow,slow,1.0,0.941
s01,audio,incongruent,fast,slow,0.0,1.181
s01,audio,control,slow,slow,1.0,1.261
s01,audio,control,slow,slow,1.0,0.729
s01,audio,incongruent,fast,slow,0.0,0.861
s01,audio,control,slow,slow,1.0,1.525
s01,audio,control,fast,fast,1.0,0.77
s01,audio,control,fast,fast,1.0,1.149
s01,audio,congruent,slow,slow,1.0,1.11
s01,audio,control,slow,slow,1.0,0.954
s01,audio,control,slow,slow,1.0,1.041
s01,audio,control,fast,fast,1.0,0.856
s01,audio,incongruent,fast,fast,1.0,0.866
s01,audio,incongruent,fast,fast,1.0,1.019
s01,audio,control,fast,fast,1.0,1.313
s01,audio,control,slow,fast,0.0,0.777
s01,audio,incongruent,slow,slow,1.0,0.933
s01,audio,congruent,slow,slow,1.0,0.81
s01,audio,congruent,fast,fast,1.0,0.862
s01,audio,incongruent,fast,fast,1.0,0.857
s01,audio,control,slow,slow,1.0,1.029
s01,audio,control,slow,slow,1.0,1.573
s01,audio,control,slow,fast,0.0,1.036
s01,audio,congruent,slow,slow,1.0,1.526
s01,audio,congruent,slow,fast,0.0,0.789
s01,audio,incongruent,slow,slow,1.0,1.069
s01,audio,incongruent,slow,slow,1.0,0.728
s01,audio,incongruent,slow,slow,1.0,0.797
s01,audio,control,slow,slow,1.0,0.732
s01,audio,congruent,fast,fast,1.0,1.03
s01,audio,congruent,slow,fast,0.0,0.717
s01,audio,incongruent,slow,slow,1.0,1.285
s01,audio,incongruent,slow,slow,1.0,1.254
s01,audio,congruent,fast,fast,1.0,0.868
s01,audio,control,slow,slow,1.0,0.996
s01,audio,incongruent,slow,slow,1.0,1.827
s01,audio,incongruent,slow,fast,0.0,0.907
s01,audio,control,slow,slow,1.0,1.046
s01,audio,congruent,fast,fast,1.0,0.822
s01,audio,congruent,slow,slow,1.0,1.231
s01,audio,control,slow,slow,1.0,0.89
s01,audio,control,fast,fast,1.0,1.179
s01,audio,control,slow,slow,1.0,0.987
s01,audio,control,fast,fast,1.0,1.075
s01,audio,incongruent,slow,slow,1.0,0.81
s01,audio,congruent,slow,slow,1.0,0.802
s01,audio,congruent,slow,slow,1.0,1.092
s01,audio,incongruent,slow,fast,0.0,0.774
s01,audio,congruent,fast,fast,1.0,0.961
s01,audio,incongruent,fast,fast,1.0,0.926
s01,audio,incongruent,fast,fast,1.0,0.825
s01,audio,control,slow,slow,1.0,0.695
s01,audio,control,slow,slow,1.0,0.623
s01,audio,congruent,fast,fast,1.0,0.803
s01,audio,control,slow,fast,0.0,0.842
s01,audio,incongruent,fast,fast,1.0,0.702
s01,audio,congruent,fast,fast,1.0,0.911
s01,audio,congruent,slow,slow,1.0,0.798
s01,audio,incongruent,slow,slow,1.0,0.749
s01,audio,control,slow,slow,1.0,0.883
s01,audio,control,fast,fast,1.0,0.875
s01,audio,congruent,fast,slow,0.0,0.82
s01,audio,control,slow,fast,0.0,1.322
s01,audio,congruent,slow,slow,1.0,1.19
s01,audio,incongruent,fast,slow,0.0,0.93
s01,audio,control,slow,slow,1.0,0.791
s01,audio,incongruent,fast,slow,0.0,1.546
s01,audio,incongruent,fast,fast,1.0,0.934
s01,audio,incongruent,fast,fast,1.0,0.951
s01,audio,incongruent,slow,slow,1.0,1.167
s01,audio,control,fast,fast,1.0,1.258
s01,audio,control,slow,slow,1.0,1.411
s01,audio,incongruent,slow,fast,0.0,0.897
s01,audio,control,fast,slow,0.0,0.834
s01,audio,incongruent,slow,slow,1.0,0.943
s01,audio,incongruent,fast,slow,0.0,1.046
s01,audio,incongruent,slow,slow,1.0,1.534
s01,audio,congruent,slow,fast,0.0,0.778
s01,audio,congruent,fast,slow,0.0,0.834
s01,audio,incongruent,fast,fast,1.0,1.062
s01,audio,control,fast,fast,1.0,0.861
s01,audio,control,slow,slow,1.0,1.001
s01,audio,incongruent,fast,slow,0.0,1.042
s01,audio,congruent,slow,slow,1.0,1.005
s01,audio,congruent,slow,fast,0.0,0.906
s01,audio,congruent,slow,slow,1.0,0.673
s01,audio,incongruent,slow,slow,1.0,0.75
s01,audio,incongruent,fast,slow,0.0,1.115
s01,audio,control,fast,fast,1.0,1.254
s01,audio,control,slow,slow,1.0,0.958
s01,audio,control,fast,fast,1.0,1.118
s01,audio,congruent,fast,slow,0.0,0.932
s01,audio,congruent,slow,slow,1.0,0.95
s01,audio,congruent,slow,slow,1.0,0.885
s01,audio,control,fast,fast,1.0,0.725
s01,audio,congruent,fast,fast,1.0,0.765
s01,audio,incongruent,slow,slow,1.0,0.895
s01,audio,control,slow,slow,1.0,1.051
s01,audio,congruent,fast,fast,1.0,0.785
s01,audio,congruent,fast,fast,1.0,1.154
s01,audio,incongruent,slow,slow,1.0,1.186
s01,audio,incongruent,fast,fast,1.0,0.95
s01,audio,control,fast,fast,1.0,0.882
s01,audio,control,fast,fast,1.0,0.875
s01,audio,control,slow,slow,1.0,1.403
s01,audio,congruent,fast,fast,1.0,0.766
s01,audio,congruent,fast,fast,1.0,1.162
s01,audio,control,slow,slow,1.0,1.249
s01,audio,incongruent,slow,slow,1.0,1.477
