subj_idx,task,condition,stimulus,answered,correct,rt,response
S00,audio,congruent,slow,fast,0,0.805,1
S00,audio,control,slow,slow,1,0.905,0
S00,audio,control,slow,slow,1,0.874,0
S00,audio,control,fast,fast,1,0.958,1
S00,audio,incongruent,slow,slow,1,0.829,0
S00,audio,incongruent,fast,slow,0,1.701,0
S00,audio,incongruent,slow,fast,0,0.78,1
S00,audio,incongruent,fast,fast,1,1.297,1
S00,audio,incongruent,slow,slow,1,1.076,0
S00,audio,incongruent,fast,slow,0,1.397,0
S00,audio,congruent,slow,slow,1,0.905,0
S00,audio,control,fast,fast,1,0.834,1
S00,audio,incongruent,slow,slow,1,0.782,0
S00,audio,congruent,fast,fast,1,1.724,1
S00,audio,incongruent,fast,fast,1,0.78,1
S00,audio,congruent,fast,fast,1,0.989,1
S00,audio,congruent,fast,fast,1,0.956,1
S00,audio,congruent,slow,slow,1,1.452,0
S00,audio,control,fast,fast,1,1.901,1
S00,audio,congruent,fast,fast,1,0.737,1
S00,audio,control,fast,slow,0,1.295,0
S00,audio,control,slow,slow,1,1.05,0
S00,audio,incongruent,fast,fast,1,1.382,1
S00,audio,incongruent,slow,slow,1,1.051,0
S00,audio,control,slow,slow,1,0.948,0
S00,audio,congruent,fast,fast,1,0.913,1
S00,audio,control,fast,fast,1,1.669,1
S00,audio,control,fast,fast,1,0.878,1
S00,audio,incongruent,slow,fast,0,1.537,1
S00,audio,control,fast,fast,1,0.764,1
S00,audio,congruent,slow,slow,1,0.88,0
S00,audio,incongruent,slow,slow,1,0.836,0
S00,audio,congruent,fast,fast,1,0.969,1
S00,audio,congruent,slow,slow,1,0.945,0
S00,audio,incongruent,fast,fast,1,1.076,1
S00,audio,control,slow,slow,1,1.12,0
S00,audio,incongruent,slow,fast,0,2.246,1
S00,audio,control,slow,fast,0,0.732,1
S00,audio,incongruent,fast,slow,0,0.924,0
S00,audio,congruent,fast,fast,1,1.325,1
S00,audio,control,fast,fast,1,0.853,1
S00,audio,incongruent,slow,slow,1,0.92,0
S00,audio,congruent,slow,slow,1,0.969,0
S00,audio,congruent,slow,slow,1,0.756,0
S00,audio,congruent,fast,fast,1,1.829,1
S00,audio,control,fast,fast,1,0.822,1
S00,audio,control,slow,fast,0,0.854,1
S00,audio,congruent,fast,fast,1,0.89,1
S00,audio,incongruent,slow,slow,1,0.792,0
S00,audio,congruent,slow,slow,1,0.974,0
S00,audio,incongruent,slow,slow,1,1.414,0
S00,audio,control,fast,fast,1,0.934,1
S00,audio,congruent,fast,fast,1,0.854,1
S00,audio,congruent,slow,slow,1,1.854,0
S00,audio,incongruent,slow,fast,0,1.233,1
S00,audio,congruent,fast,slow,0,0.981,0
S00,audio,control,slow,slow,1,1.285,0
S00,audio,incongruent,fast,fast,1,0.801,1
S00,audio,control,slow,slow,1,1.311,0
S00,audio,control,fast,fast,1,0.997,1
S00,audio,incongruent,slow,slow,1,1.031,0
S00,audio,incongruent,slow,slow,1,1.125,0
S00,audio,congruent,fast,fast,1,1.458,1
S00,audio,congruent,slow,fast,0,0.81,1
S00,audio,control,fast,slow,0,1.626,0
S00,audio,control,fast,fast,1,1.19,1
S00,audio,incongruent,fast,fast,1,0.917,1
S00,audio,congruent,slow,slow,1,1.318,0
S00,audio,control,slow,slow,1,1.317,0
S00,audio,congruent,slow,slow,1,1.009,0
S00,audio,control,fast,fast,1,1.018,1
S00,audio,congruent,slow,slow,1,1.081,0
S00,audio,control,fast,fast,1,0.938,1
S00,audio,incongruent,fast,fast,1,1.145,1
S00,audio,control,fast,fast,1,1.041,1
S00,audio,incongruent,fast,fast,1,0.929,1
S00,audio,incongruent,slow,slow,1,1.098,0
S00,audio,congruent,fast,fast,1,1.142,1
S00,audio,incongruent,fast,slow,0,1.801,0
S00,audio,incongruent,fast,slow,0,1.015,0
S00,audio,congruent,slow,slow,1,1.217,0
S00,audio,control,fast,fast,1,0.794,1
S00,audio,incongruent,fast,fast,1,1.097,1
S00,audio,incongruent,fast,fast,1,1.17,1
S00,audio,control,fast,fast,1,1.002,1
S00,audio,congruent,fast,fast,1,0.934,1
S00,audio,control,slow,slow,1,1.033,0
S00,audio,congruent,slow,slow,1,1.214,0
S00,audio,incongruent,fast,fast,1,0.874,1
S00,audio,control,fast,slow,0,0.961,0
S00,audio,congruent,slow,slow,1,2.401,0
S00,audio,control,fast,fast,1,1.024,1
S00,audio,congruent,slow,slow,1,1.513,0
S00,audio,control,slow,slow,1,1.662,0
S00,audio,incongruent,fast,fast,1,0.884,1
S00,audio,incongruent,slow,slow,1,1.369,0
S00,audio,control,fast,fast,1,0.858,1
S00,audio,incongruent,slow,slow,1,1.729,0
S00,audio,control,fast,fast,1,0.973,1
S00,audio,incongruent,fast,fast,1,1.218,1
S00,audio,incongruent,slow,slow,1,1.838,0
